git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc
21377653,US,2020,1,1,0,0,0,0,1,319259000,0.06696022038532978
5567938,CN,2020,1,0,0,0,0,0,1,1367110000,0.004072779805575265
4422587,IN,2020,1,1,0,0,0,0,1,1263930000,0.0034990758981905644
3980488,GB,2020,1,1,0,0,0,0,1,64105654,0.062092619786703995
3622573,DE,2020,1,1,0,0,0,0,1,80783000,0.044843259101543645
2938432,FR,2020,1,1,0,0,0,0,1,66078000,0.04446914252852689
2859170,CA,2020,1,1,0,0,0,0,1,35540419,0.08044840439275631
2763720,RU,2020,1,0,0,0,0,0,1,146233000,0.018899427625775303
2530973,BR,2020,1,1,0,0,0,0,1,203586000,0.012431959957953887
2494749,JP,2020,1,1,0,0,0,0,1,127080000,0.01963132672332389
2080113,KR,2020,1,1,0,0,0,0,1,50423955,0.04125247612964909
1477052,ES,2020,1,1,0,0,0,0,1,46507760,0.03175925909998675
1408309,PL,2020,1,1,0,0,0,0,1,38496000,0.03658325540315877
1374704,NL,2020,1,1,0,0,0,0,1,16881000,0.08143498607902376
1235371,UA,2020,1,1,0,0,0,0,1,42973696,0.028747143368817986
1119543,AU,2020,1,1,0,0,0,0,1,23696900,0.04724428089750136
902300,IT,2020,1,1,0,0,0,0,1,60769102,0.014848006146281378
864589,ID,2020,1,1,0,0,0,0,1,252164800,0.003428666491120093
829993,SE,2020,1,1,0,0,0,0,1,9737521,0.08523658126128816
741475,HK,2020,1,0,0,0,0,0,1,7234800,0.10248728368441422
739518,CH,2020,1,1,0,0,0,0,1,8183800,0.09036364525037269
675271,TW,2020,1,1,0,0,0,0,1,23424615,0.02882741082404129
629209,VN,2020,1,0,0,0,0,0,1,89708900,0.007013897171852514
585100,CO,2020,1,1,0,0,0,0,1,47907800,0.012213042552569728
582028,IL,2020,1,1,0,0,0,0,1,8268400,0.07039185332107784
581488,SG,2020,1,1,0,0,0,0,1,5469700,0.10631076658683292
572711,MX,2020,1,1,0,0,0,0,1,119713203,0.004784025367694823
521326,BE,2020,1,1,0,0,0,0,1,11225469,0.04644135581328495
492119,NO,2020,1,1,0,0,0,0,1,5156450,0.09543755878559862
486550,CZ,2020,1,1,0,0,0,0,1,10521600,0.04624296684914842
451942,FI,2020,1,1,0,0,0,0,1,5470437,0.08261533767777601
442084,BY,2020,1,0,0,0,0,0,1,9475100,0.04665744952559867
437182,AR,2020,1,1,0,0,0,0,1,42669500,0.010245772741653874
424198,TR,2020,1,1,0,0,0,0,1,76667864,0.005532930981356152
409559,DK,2020,1,1,0,0,0,0,1,5655750,0.072414622287053
376071,AT,2020,1,1,0,0,0,0,1,8527230,0.04410236383913651
362749,RO,2020,1,1,0,0,0,0,1,19942642,0.018189615999725614
358133,IE,2020,1,1,0,0,0,0,1,6378000,0.05615130134838507
348295,TH,2020,1,1,0,0,0,0,1,64871000,0.005369040094957685
346515,PT,2020,1,1,0,0,0,0,1,10477800,0.03307135085609574
317175,PH,2020,1,1,0,0,0,0,1,100697400,0.0031497834104952066
295222,BD,2020,1,1,0,0,0,0,1,157486000,0.001874592027227817
277372,NZ,2020,1,1,0,0,0,0,1,4547900,0.06098902790298819
272248,NG,2020,1,1,0,0,0,0,1,178517000,0.001525053636348359
256166,HU,2020,1,1,0,0,0,0,1,9879000,0.02593035732361575
